"message","label"
"Dear Team, Please cancel my subscription immediately. Need this done today. Thanks, Operations Director","churn"
"Hello, I'm terminating our agreement due to ongoing issues. Best regards, Legal Department","churn"
"Hi there, Need to cancel - budget constraints this quarter. Please confirm. Thanks, Financial Planning","churn"
"Dear Support, Your pricing model doesn't work for us anymore. Please cancel. Best, Executive Team","churn"
"Hello team, Cancel - moving to in-house solution next month. Regards, Development Director","churn"
"Hi, Please stop all services and confirm cancellation. Thanks for your help, System Administrator","churn"
"Dear Service Team, I want to end this arrangement immediately. Best wishes, Account Director","churn"
"Hello, Cancel due to poor ROI - please process ASAP. Thanks, Business Analyst","churn"
"Hi support, This service is redundant now with our new setup. Please cancel. Regards, Architecture Team","churn"
"Dear Team, Please cancel my plan and remove payment method. Best, Security Manager","churn"
"Hello, I need to stop all payments immediately. Awaiting confirmation. Thanks, Treasury","churn"
"Hi there, Your product is outdated compared to alternatives. Please cancel. Best regards, Innovation Team","churn"
"Dear Support, Cancel - found better pricing elsewhere. Need this done today. Thanks, Purchasing","churn"
"Hello team, Please terminate services by end of week. Regards, Operations Manager","churn"
"Hi, I want out of this contract ASAP. Please advise next steps. Best wishes, Legal Counsel","churn"
"Dear Service Department, Cancel - not what we expected from the service. Thanks, Evaluation Team","churn"
"Hello, This isn't working for our team anymore. Please cancel everything. Best regards, Team Manager","churn"
"Hi support, Please cancel my membership now. Need confirmation email. Thanks, Account Manager","churn"
"Dear Team, I need to end this service due to company changes. Regards, Change Management","churn"
"Hello, Your platform is too limiting for our growth. Please cancel. Best, Strategy Team","churn"
"Hi there, Cancel before next payment cycle. Confirmation needed. Thanks, Finance Team","churn"
"Dear Support, The features aren't worth the cost anymore. Please cancel. Best regards, Product Team","churn"
"Hello team, Please cancel all subscriptions immediately. Thanks for your help, IT Support","churn"
"Hi, I'm done with this service - please cancel everything. Regards, Department Head","churn"
"Dear Service Team, Need to cancel - company closing next month. Best wishes, Management","churn"
"Hello, Your service is unreliable for our business needs. Please cancel. Thanks, Operations","churn"
"Hi support, Cancel my account permanently and confirm. Best regards, Account Owner","churn"
"Dear Team, This isn't what we signed up for. Please cancel everything. Thanks, Review Committee","churn"
"Hello, Please process cancellation by end of day. Awaiting confirmation. Regards, Project Manager","churn"
"Hi there, I want to cancel everything effective immediately. Best wishes, Department Director","churn"
"Dear Support, Cancel - service too basic for our requirements. Thanks, Technical Team","churn"
"Hello team, We're going in a different direction with our tools. Please cancel. Best, Strategy Director","churn"
"Hi, Please end all services and confirm cancellation. Thanks for everything, Account Executive","churn"
"Dear Service Department, I need immediate cancellation of all services. Best regards, Operations Lead","churn"
"Hello, Your product isn't scalable enough for our growth. Please cancel. Thanks, Planning Team","churn"
